ITEM NUMBER,COLLECTION,NAME,DESCRIPTION,UPC CODE,DIMENSIONS,WS PRICE,MSRP,category
LUSC40737,SAFARI CLASSIC,Zip-Top Satchel,"Zip top satchel with  front slip pocket and adjustable shoulder straps. Colorful printed cotton interior lining. Interior zipper compartment and two pouches. Made of sand-colored ostrich print synthetic leather and trimmed in saddle tan.  Accented with decorative stitch designs, antique brass buckles and a floral concho.  21"" strap length from side to side, 9.5"" - 10.5"" drop in center.",671893041175,13 x 8 x 6,$27.00,$54.00,HANDBAG
LUSC40179,SAFARI CLASSIC,Shoulder Bag,"Shoulder bag with two front zipper pockets and an adjustable shoulder strap. Colorful printed cotton interior lining. Interior zipper compartment and two pouches. Made of sand-colored ostrich print synthetic leather and trimmed in saddle tan.  Accented with decorative stitch designs, antique brass hardware and a floral concho. Adjustable strap, 16-20"" strap length from side to side, 9-11"" drop in center.",671893041182,11 x 6.5 x 4,$22.50,$45.00,HANDBAG
LUSC40392,SAFARI CLASSIC,Bucket Tote,"Bucket tote with back zipper compartment. Colorful printed cotton interior lining. Interior zipper compartment and two pouches. Made of sand-colored ostrich print synthetic leather and trimmed in saddle tan.  Accented with decorative stitch designs, antique brass hardware and a floral concho. 24"" strap length from side to side, 11"" drop in center.",671893041199,11 x 12 x 4.5,$27.00,$54.00,HANDBAG
LUSC40270,SAFARI CLASSIC,Flap Wallet,"Flap wallet with 10 card slots, 2 clear ID slots, cash compartments, zipper coin compartment, and a checkbook compartment. Snap closure. Made of sand-colored ostrich print synthetic leather and trimmed in saddle tan.  Accented with decorative stitch designs and a floral concho. Colorful printed cotton interior lining.",671893041205,7.5 x 4 x 1,$11.00,$22.00,LADIES' WALLET
LUSC55737,SAFARI CLASSIC,Zip-Top Satchel,"Zip top satchel with  front slip pocket and adjustable shoulder straps. Colorful printed cotton interior lining. Interior zipper compartment and two pouches. Made of black ostrich print synthetic leather and trimmed in medium brown.  Accented with decorative stitch designs, antique brass buckles and a floral concho.  21"" strap length from side to side, 9.5"" - 10.5"" drop in center.",671893041212,13 x 8 x 6,$27.00,$54.00,HANDBAG
LUSC55179,SAFARI CLASSIC,Shoulder Bag,"Shoulder bag with two front zipper pockets and an adjustable shoulder strap. Colorful printed cotton interior lining. Interior zipper compartment and two pouches. Made of black ostrich print synthetic leather and trimmed in medium brown.  Accented with decorative stitch designs, antique brass hardware and a floral concho. Adjustable strap, 16-20"" strap length from side to side, 9-11"" drop in center.",671893041229,11 x 6.5 x 4,$22.50,$45.00,HANDBAG
LUSC55392,SAFARI CLASSIC,Bucket Tote,"Bucket tote with back zipper compartment. Colorful printed cotton interior lining. Interior zipper compartment and two pouches. Made of black ostrich print synthetic leather and trimmed in medium brown.  Accented with decorative stitch designs, antique brass hardware and a floral concho. 24"" strap length from side to side, 11"" drop in center.",671893041236,11 x 12 x 4.5,$27.00,$54.00,HANDBAG
LUSC55270,SAFARI CLASSIC,Flap Wallet,"Flap wallet with 10 card slots, 2 clear ID slots, cash compartments, zipper coin compartment, and a checkbook compartment. Snap closure. Made of black ostrich print synthetic leather and trimmed in medium brown.  Accented with decorative stitch designs and a floral concho. Colorful printed cotton interior lining.",671893041243,7.5 x 4 x 1,$11.00,$22.00,LADIES' WALLET
LUDB80465,DIAMONDBACK,Zip-Top Tote,"Zip-Top Tote with front zipper pocket. Made of python-printed durable canvas and trimmed with black ostrich-print synthetic leather.  Accented with silver pyramid spots. Bright turquoise cotton interior lining.  Interior zip compartment and two interior open pouches. Shoulder straps: 20"" strap length from side to side, 11"" drop in center",671893041250,13 x 10 x 5,$24.50,$49.00,HANDBAG
LUDB80558,DIAMONDBACK,Cinched Convertible Bag ,"Cinched Convertible Bag with front zipper pocket. Made of python-printed durable canvas and trimmed with black ostrich-print synthetic leather.  Accented with silver pyramid spots. Bright turquoise cotton interior lining.  Interior zip compartment and two interior open pouches. Short Handles: 12"" strap length from side to side, 7"" drop in center. Long Shoulder Strap: 45-48"" strap length from side to side, 22""-24"" drop in center",671893041267,12 x 12 x 4,$26.00,$52.00,HANDBAG
LUDB80260,DIAMONDBACK,French Wallet,"French wallet with 9 card slots, clear ID slot, cash compartments, with snap closure. Back divided zipper coin compartment. Made of python-printed durable canvas and trimmed with black ostrich-print synthetic leather.  Accented with silver pyramid spots. Bright turquoise cotton interior lining. ",671893041274,4.5 x 3.5 x 1.5,$11.00,$22.00,LADIES' WALLET
LUDB70465,DIAMONDBACK,Zip-Top Tote,"Zip-Top Tote with front zipper pocket. Made of python-printed durable canvas and trimmed with pink ostrich-print synthetic leather.  Accented with silver pyramid spots. Bright pink cotton interior lining.  Interior zip compartment and two interior open pouches. Shoulder straps: 20"" strap length from side to side, 11"" drop in center",671893041281,13 x 10 x 5,$24.50,$49.00,HANDBAG
LUDB70558,DIAMONDBACK,Cinched Convertible Bag ,"Cinched Convertible Bag with front zipper pocket. Made of python-printed durable canvas and trimmed with pink ostrich-print synthetic leather.  Accented with silver pyramid spots. Bright pink cotton interior lining.  Interior zip compartment and two interior open pouches. Short Handles: 12"" strap length from side to side, 7"" drop in center. Long Shoulder Strap: 45-48"" strap length from side to side, 22""-24"" drop in center",671893041298,12 x 12 x 4,$26.00,$52.00,HANDBAG
LUDB70260,DIAMONDBACK,French Wallet,"French wallet with 9 card slots, clear ID slot, cash compartments, with snap closure. Back divided zipper coin compartment. Made of python-printed durable canvas and trimmed with pink ostrich-print synthetic leather.  Accented with silver pyramid spots. Bright pink cotton interior lining. ",671893041304,4.5 x 3.5 x 1.5,$11.00,$22.00,LADIES' WALLET
LUDS25533,DESERT SUN,Cinched Tote,"Cinched Tote with side tassels and magnetic closure. Adjustable shoulder strap. Made of black imitation suede, with metallic lacing accents.  Leopard print cotton interior lining. Interior zip compartment and two interior open pouches. Shoulder straps: 23-27"" strap length from side to side, 11-13"" drop in center",671893041588,12 x 12 x 3.5,$29.50,$59.00,HANDBAG
LUDS25872,DESERT SUN,Scoop Top Tote,"Scoop top tote. Made of black imitation suede, with metallic lacing accents.  Leopard print cotton interior lining. Interior zip compartment and two interior open pouches. Shoulder straps: 18"" strap length from side to side, 11"" drop in center",671893041595,12 x 10 x 4.5,$29.50,$59.00,HANDBAG
LUDS25260,DESERT SUN,French Wallet,"French wallet with 9 card slots, clear ID slot, cash compartments, with snap closure. Back divided zipper coin compartment. Made of black imitation suede, with metallic lacing accents.  Leopard print cotton interior lining. ",671893041601,4.5 x 3.5 x 1.5,$11.00,$22.00,LADIES' WALLET
LUDS25270,DESERT SUN,Flap Wallet,"Flap wallet with 10 card slots, 2 clear ID slots, cash compartments, zipper coin compartment, and a checkbook compartment. Snap closure. Made of black imitation suede, with metallic lacing accents.  Leopard print cotton interior lining. ",671893041618,7.5 x 4 x 1,$11.00,$22.00,LADIES' WALLET
LUDS44533,DESERT SUN,Cinched Tote,"Cinched Tote with side tassels and magnetic closure. Adjustable shoulder strap. Made of tan imitation suede, with colorful lacing accents.  Colorful and fun printed cotton interior lining. Interior zip compartment and two interior open pouches. Shoulder straps: 23-27"" strap length from side to side, 11-13"" drop in center",671893041625,12 x 12 x 3.5,$29.50,$59.00,HANDBAG
LUDS44872,DESERT SUN,Scoop Top Tote,"Scoop top tote. Made of tan imitation suede, with colorful lacing accents.  Colorful and fun printed cotton interior lining. Interior zip compartment and two interior open pouches. Shoulder straps: 18"" strap length from side to side, 11"" drop in center",671893041632,12 x 10 x 4.5,$29.50,$59.00,HANDBAG
LUDS44260,DESERT SUN,French Wallet,"French wallet with 9 card slots, clear ID slot, cash compartments, with snap closure. Back divided zipper coin compartment. Made of tan imitation suede, with colorful lacing accents.  Colorful and fun printed cotton interior lining. ",671893041649,4.5 x 3.5 x 1.5,$11.00,$22.00,LADIES' WALLET
LUDS44270,DESERT SUN,Flap Wallet,"Flap wallet with 10 card slots, 2 clear ID slots, cash compartments, zipper coin compartment, and a checkbook compartment. Snap closure. Made of tan imitation suede, with colorful lacing accents.  Colorful and fun printed cotton interior lining. ",671893041656,7.5 x 4 x 1,$11.00,$22.00,LADIES' WALLET
LUAA35260,ANIMAL ATTRACTION,FRENCH WALLET,"French wallet with 9 card slots, clear ID slot, cash compartments, with snap closure. Back divided zipper coin compartment. Made of python-printed durable canvas and trimmed with chocolate ostrich-print synthetic patent leather.  Accented with silver pyramid spots and a silver buckle. Matching sand-colored cotton interior lining. ",671893043377,4.5 x 3.5 x 1.5,$12.00,$24.00,LADIES' WALLET
LUAA35270,ANIMAL ATTRACTION,FLAP WALLET,"Flap wallet with 10 card slots, 2 clear ID slots, cash compartments, zipper coin compartment, and a checkbook compartment. Snap closure. Made of python-printed synthetic leather and trimmed with chocolate ostrich-print synthetic patent leather.  Accented with silver pyramid spots and a silver buckle. Matching sand-colored cotton interior lining. ",671893043384,7.5 x 4 x 1,$12.50,$25.00,LADIES' WALLET
LUAA35470,ANIMAL ATTRACTION,SCOOP TOP HOBO,"Soft zip top hobo with front pouch, back zipper pocket, and adjustable shoulder strap. Interior zip compartment and two interior open pouches. Made of python-printed synthetic leather and trimmed with chocolate ostrich-print synthetic patent leather.  Accented with silver pyramid spots and a silver buckle. Matching sand-colored cotton interior lining. Adjustable handles: 14-18"" strap length from side to side, 10-12"" drop in center",671893043391,14 x 10 x 6,$34.50,$69.00,HANDBAG
LUAA35797,ANIMAL ATTRACTION,CROSS BODY FLAP BAG,"Cross-body flap bag with rolling adjustable shoulder strap. Back zipper pocket and two open compartments under flap. Interior zip compartment and two interior pouches. Made of python-printed synthetic leather and trimmed with chocolate ostrich-print synthetic patent leather.  Accented with silver pyramid spots and a silver buckle. Matching sand-colored cotton interior lining. Adjustable handles: 28-52"" strap length from side to side, 12-24"" drop in center",671893043407,10 x 7 x 4,$29.50,$59.00,HANDBAG
LUAA35872,ANIMAL ATTRACTION,3 COMPARTMENT TOTE,"Three compartment tote with 3 outside open pockets. One main zip compartment with compartments on either side with magnetic closure. Interior also includes a zip compartment and two interior pouches. Made of python-printed synthetic leather and trimmed with chocolate ostrich-print synthetic patent leather.  Accented with silver pyramid spots and a silver buckle. Matching sand-colored cotton interior lining. Shoulder straps: 24"" strap length from side to side, 11"" drop in center",671893043414,12 x 10 x 4,$34.50,$69.00,HANDBAG
LUAA99260,ANIMAL ATTRACTION,FRENCH WALLET,"French wallet with 9 card slots, clear ID slot, cash compartments, with snap closure. Back divided zipper coin compartment. Made of croco-printed synthetic leather and trimmed with dark chocolate ostrich-print synthetic patent leather.  Accented with silver pyramid spots. Matching beige-colored cotton interior lining. ",671893043322,4.5 x 3.5 x 1.5,$12.00,$24.00,LADIES' WALLET
LUAA99270,ANIMAL ATTRACTION,FLAP WALLET,"Flap wallet with 10 card slots, 2 clear ID slots, cash compartments, zipper coin compartment, and a checkbook compartment. Snap closure. Made of python-printed synthetic leather and trimmed with dark chocolate ostrich-print synthetic patent leather.  Accented with silver pyramid spots. Matching beige-colored cotton interior lining. ",671893043339,7.5 x 4 x 1,$12.50,$25.00,LADIES' WALLET
LUAA99470,ANIMAL ATTRACTION,SCOOP TOP HOBO,"Soft zip top hobo with front pouch, back zipper pocket, and adjustable shoulder strap. Interior zip compartment and two interior open pouches. Made of python-printed synthetic leather and trimmed with dark chocolate ostrich-print synthetic patent leather.  Accented with silver pyramid spots and a silver buckle. Matching beige-colored cotton interior lining. Adjustable handles: 14-18"" strap length from side to side, 10-12"" drop in center",671893043346,14 x 10 x 6,$34.50,$69.00,HANDBAG
LUAA99797,ANIMAL ATTRACTION,CROSS BODY FLAP BAG,"Cross-body flap bag with rolling adjustable shoulder strap. Back zipper pocket and two open compartments under flap. Interior zip compartment and two interior pouches. Made of python-printed synthetic leather and trimmed with dark chocolate ostrich-print synthetic patent leather.  Accented with silver pyramid spots and a silver buckle. Matching beige-colored cotton interior lining. Adjustable handles: 28-52"" strap length from side to side, 12-24"" drop in center",671893043353,10 x 7 x 4,$29.50,$59.00,HANDBAG
LUAA99872,ANIMAL ATTRACTION,3 COMPARTMENT TOTE,"Three compartment tote with 3 outside open pockets. One main zip compartment with compartments on either side with magnetic closure. Interior also includes a zip compartment and two interior pouches. Made of python-printed synthetic leather and trimmed with dark chocolate ostrich-print synthetic patent leather.  Accented with silver pyramid spots and a silver buckle. Matching beige-colored cotton interior lining. Shoulder straps: 24"" strap length from side to side, 11"" drop in center",671893043360,12 x 10 x 4,$34.50,$69.00,HANDBAG
LUCHAP260,CHAPS,FRENCH WALLET,"French wallet with 9 card slots, clear ID slot, cash compartments, with snap closure. Back divided zipper coin compartment. Faux stone-washed calfskin leather, tumbled and washed to create a weathered look.  Accented with silver spots, a cross-stitch pattern, and a horseshoe-like metal decoration. Multi-colored paisley print cotton interior lining. ",671893043278,4.5 x 3.5 x 1.5,$12.00,$24.00,LADIES' WALLET
LUCHAP270,CHAPS,FLAP WALLET,"Flap wallet with 10 card slots, 2 clear ID slots, cash compartments, zipper coin compartment, and a checkbook compartment. Snap closure. Faux stone-washed calfskin leather, tumbled and washed to create a weathered look. Accented with silver spots, a cross-stitch pattern, and a horseshoe-like metal decoration. Multi-colored paisley print cotton interior lining. ",671893043285,7.5 x 4 x 1,$12.00,$24.00,LADIES' WALLET
LUCHAP572,CHAPS,SUPER SOFT TOTE,"Zip-top tote with back zipper compartment. Interior zip compartment and two interior open pouches. Faux stone-washed calfskin leather, tumbled and washed to create a weathered look. Accented with silver buckles, silver spots, a cross-stitch pattern, and a horseshoe-like metal decoration. Multi-colored paisley print cotton interior lining. Shoulder straps: 20"" strap length from side to side, 12"" drop in center",671893043292,15 x 12 x 5.5,$34.50,$69.00,HANDBAG
LUCHAP644,CHAPS,SUPER SOFT DRAWSTRING,"Drawstring tote with magnetic snap closure and an adjustable shoulder strap. Two outside pockets with magnetic closure on the side flaps. Interior zip compartment and two interior open pouches. Faux stone-washed calfskin leather, tumbled and washed to create a weathered look. Accented with silver buckles, silver spots, a cross-stitch pattern, and a horseshoe-like metal decoration. Multi-colored paisley print cotton interior lining. Adjustable handles: 22-24"" strap length from side to side, 12-13"" drop in center",671893043315,16 x 11 x 6,$34.50,$69.00,HANDBAG
LUCHAP808,CHAPS,SUPER SOFT HOBO,"Zip-top hobo with adjustable shoulder strap. Two large outside open pockets. Interior zip compartment and two interior open pouches. Faux stone-washed calfskin leather, tumbled and washed to create a weathered look. Accented with silver buckles, silver spots, a cross-stitch pattern, and a horseshoe-like metal decoration. Multi-colored paisley print cotton interior lining. Adjustable handles: 17-19"" strap length from side to side, 10-12"" drop in center",671893043308,13 x 10 x 6,$34.50,$69.00,HANDBAG
LUMD15260,MOON DANCER,FRENCH WALLET,"French wallet with 9 card slots, clear ID slot, cash compartments, with snap closure. Back divided zipper coin compartment. Made of slate gray nubuck faux leather. Accented with a custom designed slotted concho, lacing, and fringe decoration. Multi-colored paisley print cotton interior lining. ",671893043421,4.5 x 3.5 x 1.5,$13.00,$26.00,LADIES' WALLET
LUMD15470,MOON DANCER,SCOOP TOP HOBO,"Soft zip top hobo with back zipper pocket, and adjustable shoulder strap. Interior zip compartment and two interior open pouches. Made of slate gray nubuck faux leather. Accented with custom designed slotted conchos, lacing, and fringe decoration. Multi-colored paisley print cotton interior lining. Adjustable handles: 14-18"" strap length from side to side, 10-12"" drop in center",671893043445,14 x 10 x 6,$39.50,$79.00,HANDBAG
LUMD15486,MOON DANCER,SCOOP TOP TOTE,"Scoop top tote with magnetic snap closure. Back pocket with magnetic closure, and interior zip compartment and pouches. Made of slate gray nubuck faux leather. Accented with custom designed slotted conchos, lacing, and fringe decoration. Multi-colored paisley print cotton interior lining. Shoulder straps: 18"" strap length from side to side, 13"" drop in center",671893043452,14 x 10 x 3,$39.50,$79.00,HANDBAG
LUMD15797,MOON DANCER,CROSS BODY FLAP BAG,"Crossbody flap bag with rolling adjustable shoulder strap. Back pocket with magnetic closure, 2 side open pockets, and open pocket on the front under the flap. Main compartment contains a zip compartment and two pouches. Made of slate gray nubuck faux leather. Accented with a custom designed slotted concho, lacing, and fringe decoration. Multi-colored paisley print cotton interior lining. Adjustable handles: 28-52"" strap length from side to side, 12-24"" drop in center",671893043438,10 x 7 x 4,$34.50,$69.00,HANDBAG
LUMD88260,MOON DANCER,FRENCH WALLET,"French wallet with 9 card slots, clear ID slot, cash compartments, with snap closure. Back divided zipper coin compartment. Made of rich saddle-tan nubuck faux leather. Accented with a custom designed slotted concho, lacing, and fringe decoration. Multi-colored paisley print cotton interior lining. ",671893043469,4.5 x 3.5 x 1.5,$13.00,$26.00,LADIES' WALLET
LUMD88470,MOON DANCER,SCOOP TOP HOBO,"Soft zip top hobo with back zipper pocket, and adjustable shoulder strap. Interior zip compartment and two interior open pouches. Made of rich saddle-tan nubuck faux leather. Accented with custom designed slotted conchos, lacing, and fringe decoration. Multi-colored paisley print cotton interior lining. Adjustable handles: 14-18"" strap length from side to side, 10-12"" drop in center",671893043483,14 x 10 x 6,$39.50,$79.00,HANDBAG
LUMD88486,MOON DANCER,SCOOP TOP TOTE,"Scoop top tote with magnetic snap closure. Back pocket with magnetic closure, and interior zip compartment and pouches. Made of rich saddle-tan nubuck faux leather. Accented with custom designed slotted conchos, lacing, and fringe decoration. Multi-colored paisley print cotton interior lining. Shoulder straps: 18"" strap length from side to side, 13"" drop in center",671893043490,14 x 10 x 3,$39.50,$79.00,HANDBAG
LUMD88797,MOON DANCER,CROSS BODY FLAP BAG,"Crossbody flap bag with rolling adjustable shoulder strap. Back pocket with magnetic closure, 2 side open pockets, and open pocket on the front under the flap. Main compartment contains a zip compartment and two pouches. Made of rich saddle-tan nubuck faux leather. Accented with a custom designed slotted concho, lacing, and fringe decoration. Multi-colored paisley print cotton interior lining. Adjustable handles: 28-52"" strap length from side to side, 12-24"" drop in center",671893043476,10 x 7 x 4,$34.50,$69.00,HANDBAG
LUSL20138,STARLIGHT,SHOULDER BAG - BLACK,"Zip-top shoulder bag with adjustable shoulder strap. Front pouch with magnetic closure, and two side open pockets. Interior zip compartment and two pouches. Made of soft, midnight black embossed faux python. Accented with plenty of multi-sized round and pyramid-style silver spots. Black and brown leopard print cotton interior lining. Adjustable handles: 19-23"" strap length from side to side, 9-11"" drop in center",671893043247,12 x 7 x 4,$24.50,$49.00,HANDBAG
LUSL20260,STARLIGHT,FRENCH WALLET - BLACK,"French wallet with 9 card slots, clear ID slot, cash compartments, with snap closure. Back divided zipper coin compartment. Made of soft, midnight black embossed faux python. Accented with plenty of multi-sized round and pyramid-style silver spots. Black and brown leopard print cotton interior lining. ",671893043230,4.5 x 3.5 x 1.5,$12.00,$24.00,LADIES' WALLET
LUSL20470,STARLIGHT,SCOOP TOP HOBO - BLACK,"Soft zip top hobo with front pouch, back zipper pocket, and adjustable shoulder strap. Interior zip compartment and two interior open pouches. Made of soft, midnight black embossed faux python. Accented with plenty of multi-sized round and pyramid-style silver spots. Black and brown leopard print cotton interior lining. Adjustable handles: 14-18"" strap length from side to side, 10-12"" drop in center",671893043256,14 x 10 x 6,$29.50,$59.00,HANDBAG
LUSL20652,STARLIGHT,CONVERTIBLE TOTE - BLACK,"Zip-top convertible tote with long adjustable shoulder strap. Front pouch with magnetic closure and back zipper compartment. Interior zip compartment and two interior open pouches. Made of soft, midnight black embossed faux python. Accented with plenty of multi-sized round and pyramid-style silver spots. Black and brown leopard print cotton interior lining. Short Handles: 16"" strap length from side to side, 8"" drop in center. Long Shoulder Strap: 45-49"" strap length from side to side, 24-26"" drop in center",671893043261,12 x 10 x 5,$34.50,$69.00,HANDBAG
LUSL75138,STARLIGHT,SHOULDER BAG - RED,"Zip-top shoulder bag with adjustable shoulder strap. Front pouch with magnetic closure, and two side open pockets. Interior zip compartment and two pouches. Made of soft, berry colored embossed faux python. Accented with plenty of multi-sized round and pyramid-style silver spots. Red leopard print cotton interior lining. Adjustable handles: 19-23"" strap length from side to side, 9-11"" drop in center",671893043162,12 x 7 x 4,$24.50,$49.00,HANDBAG
LUSL75260,STARLIGHT,FRENCH WALLET - RED,"French wallet with 9 card slots, clear ID slot, cash compartments, with snap closure. Back divided zipper coin compartment. Made of soft, berry colored embossed faux python. Accented with plenty of multi-sized round and pyramid-style silver spots. Black and brown leopard print cotton interior lining. ",671893043155,4.5 x 3.5 x 1.5,$12.00,$24.00,LADIES' WALLET
LUSL75470,STARLIGHT,SCOOP TOP HOBO - RED,"Soft zip top hobo with front pouch, back zipper pocket, and adjustable shoulder strap. Interior zip compartment and two interior open pouches. Made of soft, berry colored embossed faux python. Accented with plenty of multi-sized round and pyramid-style silver spots. Red leopard print cotton interior lining. Adjustable handles: 14-18"" strap length from side to side, 10-12"" drop in center",671893043179,14 x 10 x 6,$29.50,$59.00,HANDBAG
LUSL75652,STARLIGHT,CONVERTIBLE TOTE - RED,"Zip-top convertible tote with long adjustable shoulder strap. Front pouch with magnetic closure and back zipper compartment. Interior zip compartment and two interior open pouches. Made of soft, berry colored embossed faux python. Accented with plenty of multi-sized round and pyramid-style silver spots. Red leopard print cotton interior lining. Short Handles: 16"" strap length from side to side, 8"" drop in center. Long Shoulder Strap: 45-49"" strap length from side to side, 24-26"" drop in center",671893043186,12 x 10 x 5,$34.50,$69.00,HANDBAG
